,기계,도움,바지,발견,발화,보수,부위,분경,불꽃,불똥,비산,산소,소속,소재,용접,작업복,주변,하부,화상
기계,3,0,1,1,0,2,0,1,1,0,0,0,1,1,6,1,0,0,0
도움,0,3,0,1,0,0,1,1,0,0,0,0,0,2,5,1,2,0,2
바지,1,0,3,1,1,0,0,2,2,0,0,1,0,0,5,1,0,0,0
발견,1,1,1,4,0,0,1,3,2,0,0,2,0,1,10,2,1,0,3
발화,0,0,1,0,3,0,0,1,1,1,0,1,2,1,4,1,0,2,0
보수,2,0,0,0,0,4,0,0,2,0,0,0,1,1,6,0,0,0,0
부위,0,1,0,1,0,0,4,2,0,0,1,0,0,2,9,1,1,0,4
분경,1,1,2,3,1,0,2,12,5,1,1,2,1,2,21,1,0,1,5
불꽃,1,0,2,2,1,2,0,5,12,0,1,3,1,1,19,0,1,1,3
불똥,0,0,0,0,1,0,0,1,0,4,0,1,1,2,6,1,0,1,2
비산,0,0,0,0,0,0,1,1,1,0,3,0,0,0,6,1,0,1,2
산소,0,0,1,2,1,0,0,2,3,1,0,4,0,1,10,0,0,0,3
소속,1,0,0,0,2,1,0,1,1,1,0,0,3,2,4,1,0,2,0
소재,1,2,0,1,1,1,2,2,1,2,0,1,2,6,9,1,2,1,4
용접,6,5,5,10,4,6,9,21,19,6,6,10,4,9,107,8,6,6,30
작업복,1,1,1,2,1,0,1,1,0,1,1,0,1,1,8,6,1,2,2
주변,0,2,0,1,0,0,1,0,1,0,0,0,0,2,6,1,4,1,2
하부,0,0,0,0,2,0,0,1,1,1,1,0,2,1,6,2,1,5,1
화상,0,2,0,3,0,0,4,5,3,2,2,3,0,4,30,2,2,1,19
